bin_start_sec,flow_E_in,flow_N_in,flow_S_in,flow_W_in,queue_mean_allzones,queue_max_allzones
0.0,1.0,0.0,0.0,1.0,0.2375,2.0
60.0,1.0,0.0,0.0,0.0,0.2,3.0
120.0,0.0,1.0,0.0,0.0,0.725,4.0
180.0,0.0,0.0,3.0,0.0,0.6000000000000001,4.0
240.0,2.0,0.0,1.0,1.0,0.6,3.0
300.0,1.0,1.0,2.0,0.0,0.5375,2.0
360.0,1.0,0.0,2.0,0.0,0.48750000000000004,3.0
420.0,0.0,2.0,0.0,0.0,0.38749999999999996,2.0
480.0,0.0,0.0,0.0,0.0,0.125,1.0
